formasi_id,ins_nm,jp_nama,formasi_nm,jabatan_nm,lokasi_nm,jumlah_formasi,disable,gaji_max,gaji_min
8a01869291548667019154c5bffc406f,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,ANALIS PENGELOLAAN KEUANGAN APBN AHLI PERTAMA,Perwakilan BKKBN Provinsi Kalimantan Tengah,1,1,9024448,2785700
8a01869291548667019154c8fec9471e,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,ANALIS PENGELOLAAN KEUANGAN APBN AHLI PERTAMA,Perwakilan BKKBN Provinsi Sulawesi Selatan,1,1,9024448,2785700
8a01869291548667019154dc26ad6c0a,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,ANALIS PENGELOLAAN KEUANGAN APBN AHLI PERTAMA,Perwakilan BKKBN Provinsi Kalimantan Timur,1,1,9024448,2785700
8a01869291548667019154e984b80641,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,ANALIS PENGELOLAAN KEUANGAN APBN AHLI PERTAMA,Perwakilan BKKBN Provinsi Kepulauan Riau,1,1,9024448,2785700
8a01869291548667019154ebaa660b93,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,ANALIS PENGELOLAAN KEUANGAN APBN AHLI PERTAMA,Perwakilan BKKBN Provinsi Papua Barat,1,1,9024448,2785700
8a01869291548667019154f38bb01886,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,ANALIS PENGELOLAAN KEUANGAN APBN AHLI PERTAMA,Perwakilan BKKBN Provinsi Lampung,1,1,9024448,2785700
8a01869291548667019154f475aa1a03,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,ANALIS PENGELOLAAN KEUANGAN APBN AHLI PERTAMA,Perwakilan BKKBN Provinsi Papua,1,1,9024448,2785700
8a01869291548667019154f86d8b2076,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,ANALIS PENGELOLAAN KEUANGAN APBN AHLI PERTAMA,Perwakilan BKKBN Provinsi Maluku,1,1,9024448,2785700
8a01869291548667019154fb0b2624f0,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,ANALIS PENGELOLAAN KEUANGAN APBN AHLI PERTAMA,Perwakilan BKKBN Provinsi Nusa Tenggara Timur,1,1,9024448,2785700
8a0186929154866701915503a0b4346b,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,ANALIS PENGELOLAAN KEUANGAN APBN AHLI PERTAMA,Perwakilan BKKBN Provinsi Nusa Tenggara Barat,1,1,9024448,2785700
